codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
45331;A-582/CENIPA/2014 - 01;2016-07-29;2016-08-25;2016-12-20;Atuar junto às empresas que operam segundo o RBAC 121 de forma tal que assegure que o treinamento de Corporate Ressource Management (CRM) esteja adequado a realidade daquela empresa, que seja constantemente avaliado e reforçado (com a participação da alta direção), envolva todos os profissionais da instituição, que garanta a integração dos diferentes setores da empresa (corporate), e que, acima de tudo, faça parte da cultura de segurança de voo da organização.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45331;A-582/CENIPA/2014 - 02;2016-07-29;2016-08-25;2016-12-20;Atuar junto à Administração do Aeroporto Internacional de Guarulhos, de forma que este passe a ministrar treinamento teórico e prático de atendimento às vítimas de acidentes envolvendo os principais tipos de aeronaves que operam naquela localidade, principalmente os das Linhas Aéreas Regulares, com especial ênfase ao “Layout” e aos meios de remoção de passageiros do interior destas aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45331;A-582/CENIPA/2014 - 03;2016-07-29;2016-08-25;NULL;Orientar as suas organizações subordinadas em relação ao fiel cumprimento do estabelecido na ICA 100-37, de 28ABR2014, no seu item 5.9.3 e na MCA 100-16, de 18NOV2013, no item 2.3.3.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
45392;A-032/CENIPA/2014 - RSV 001;2014-04-07;2015-04-14;2015-08-21;Divulgar aos operadores de helicópteros vinculados ao RBHA 91 os ensinamentos oriundos desse acidente, a fim de elevar o nível de alerta para os fatores de risco decorrentes do não cumprimento dos Regulamentos Brasileiros de Homologação Aeronáutica (RBHA) e dos Regulamentos Brasileiros de Aviação Civil (RBAC) em vigor.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45392;A-032/CENIPA/2014 - RSV 002;2014-04-07;2015-04-14;2015-08-17;Tendo em vista os fatos levantados nesta investigação, atuar junto ao operador para garantir o fiel cumprimento dos Regulamentos Brasileiros de Homologação Aeronáutica (RBHA) e dos Regulamentos Brasileiros de Aviação Civil (RBAC) em vigor.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45397;IG-536/CENIPA/2014 - 01;2016-04-15;2016-05-17;2017-02-21;Certificar-se que a IS n° 00-002B, no capítulo referente à descrição das manobras para helicópteros, estabeleça parâmetros de execução e de avaliação para todas as manobras previstas durante os voos de cheque de proficiência (voos de cheque). Em relação à autorrotação, incluir nessa IS, item descrevendo os procedimentos para a manobra, definir parâmetros de execução e avaliação, e determinar os níveis mínimos aceitáveis de proficiência.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45397;IG-536/CENIPA/2014 - 02;2016-04-15;2016-05-17;2017-02-24;Certificar-se de que o tempo limite para revisão (TBO) de 3.600 horas do modulo 3 do motor Arriel 1D1 estabelecido através do SB n° 292.72.0832, é apropriado para identificar a possibilidade de deterioração do rolamento traseiro do modulo 3 (PN 9609000408).;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45400;IG-544/CENIPA/2015 - 01;2017-03-31;2017-03-31;NULL;Assegurar-se que os pilotos que operam aeronaves pressurizadas estejam habilitados para o gerenciamento de condições de fogo/fumaça na cabine, incluindo a correta utilização das máscaras de oxigênio.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45400;IG-544/CENIPA/2015 - 02;2017-03-31;2017-03-31;NULL;Realizar gestões junto ao operador, a fim de assegurar que todos os pilotos da companhia cumpram fielmente os procedimentos previstos no SOP da empresa e no QRH da aeronave, tanto em condições normais quanto em emergência.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45400;IG-544/CENIPA/2015 - 03;2017-03-31;2017-03-31;NULL;Realizar gestões junto ao operador, a fim de garantir que todos os manuais da companhia sejam fielmente atualizados de acordo com os procedimentos previstos nos manuais do fabricante da aeronave.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
